name,description,phone,createdAt,updatedAt
A and S,sample data,111111111,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Adept  Freighters,sample data,111111112,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Agro Freight,sample data,111111113,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Akfa,sample data,111111114,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Alfa/ zee Freighters,sample data,111111115,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
All Seas,sample data,111111116,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
AR Freighters,sample data,111111117,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Ayman Forwarding,sample data,111111118,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Cargo Freighters,sample data,111111119,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Chathura,sample data,111111120,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Continental,sample data,111111121,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Craft & Solutions,sample data,111111122,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
D & G,sample data,111111123,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Deal link ,sample data,111111124,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Devoni,sample data,111111125,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Double A,sample data,111111126,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
DS & Sons,sample data,111111127,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Easy cargo,sample data,111111128,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Eminent,sample data,111111129,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Everton Clearing,sample data,111111130,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Exceed,sample data,111111131,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Expedia Cargo,sample data,111111132,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Flysea,sample data,111111133,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Freight Cargo,sample data,111111134,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
G & G,sample data,111111135,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Gateway fahim,sample data,111111136,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Global Cargo Logistics,sample data,111111137,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Green Back,sample data,111111138,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Greenline Cus.,sample data,111111139,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Greenway,sample data,111111140,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Grow way,sample data,111111141,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Immortal,sample data,111111142,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Imran Transporters,sample data,111111143,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Kayata,sample data,111111144,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
LK,sample data,111111145,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Lokesh,sample data,111111146,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Master Freighters,sample data,111111147,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Misfila/ Layha Clearing,sample data,111111148,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
MITO,sample data,111111149,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Multiline/ Smart Cargo,sample data,111111150,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
N I enterprises,sample data,111111151,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Naina MOHAMED,sample data,111111152,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
New pioneer,sample data,111111153,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
New Way,sample data,111111154,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
NK Cargo,sample data,111111155,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
NK Enterprises,sample data,111111156,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
NST,sample data,111111157,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Ocean Clearing,sample data,111111158,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Ocean Logistics/horizon logistics/millenium,sample data,111111159,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Omega ,sample data,111111160,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Overseas Cargo,sample data,111111161,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
OYS,sample data,111111162,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Paragon,sample data,111111163,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Potlach,sample data,111111164,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Prestige/Oceanic,sample data,111111165,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
R & S,sample data,111111166,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Reliable Forwarders,sample data,111111167,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Richway,sample data,111111168,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Risan and sons,sample data,111111169,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Rival ,sample data,111111170,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
RMO,sample data,111111171,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Rocky Clearing,sample data,111111172,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Roneshi,sample data,111111173,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Royal Lanka,sample data,111111174,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
RP Logistics,sample data,111111175,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
RTM,sample data,111111176,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
S & A,sample data,111111177,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
S & T,sample data,111111178,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Sampath Enterprises,sample data,111111179,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
Sanuka Enterprises,sample data,111111180,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
SAR Cargo,sample data,111111181,2025-08-01 12:07:27.048 +00:00,2025-08-01 12:07:27.048 +00:00
